Parcel_ID|Municipality|Property_Address|Alternate_ID|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2013_Mkt|Land_Value_2013_Reval|Building_Value_2013_Mkt|Building_Value_2013_Reval|Total_Value_2013_Mkt|Total_Value_2013_Reval
0100-H-00317-0000-00|926 MT. LEBANON|751 PINETREE RD||Mt Lebanon|92611|Taxable|4/5/1973|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|11,775 SQFT|85000|158500|175000|179200|260000|337700
0100-H-00320-0000-00|926 MT. LEBANON|747 PINETREE RD||Mt Lebanon|92611|Taxable|9/16/2005|Regular|245000|Residential|12592|SINGLE FAMILY|371|Yes|No|No|11,405 SQFT|79400|156000|124600|230900|204000|386900
0100-H-00323-0000-00|926 MT. LEBANON|743 PINETREE RD||Mt Lebanon|92611|Taxable|12/1/1997|Regular|178500|Residential|10088|SINGLE FAMILY|117|Yes|No|No|13,658 SQFT|60000|160600|122000|249800|182000|410400
0100-H-00326-0000-00|926 MT. LEBANON|739 PINETREE RD||Mt Lebanon|92611|Taxable|8/13/2004|Regular|280000|Residential|12156|SINGLE FAMILY|420|Yes|No|No|24,528 SQFT|90800|164600|200200|199700|291000|364300
0100-H-00329-0000-00|926 MT. LEBANON|735 PINETREE RD||Mt Lebanon|92611|Taxable|9/20/2006|Regular|395000|Residential|12998|SINGLE FAMILY|459|Yes|No|No|13,296 SQFT|80400|160400|285300|222700|365700|383100
0100-H-00332-0000-00|926 MT. LEBANON|731 PINETREE RD||Mt Lebanon|92611|Taxable|5/10/2006|Regular|220500|Residential|12840|SINGLE FAMILY|10|Yes|No|No|11,520 SQFT|79000|156800|148600|191500|227600|348300
0100-H-00334-0000-00|926 MT. LEBANON|727 PINETREE RD||Mt Lebanon|92611|Taxable|10/20/2006|Regular|183000|Residential|13032|SINGLE FAMILY|327|No|No|No|11,576 SQFT|79500|164100|103500|175100|183000|339200
0100-H-00340-0000-00|926 MT. LEBANON|856 LARCHMONT RD||Mt Lebanon|92611|Taxable|6/13/1984|Regular|185000|Residential|6886|SINGLE FAMILY|565|Yes|No|No|19,380 SQFT|85500|162700|254800|235800|340300|398500
0100-H-00343-0000-00|926 MT. LEBANON|858 LARCHMONT RD||Mt Lebanon|92611|Taxable|7/25/1984|Regular|159000|Residential|6915|SINGLE FAMILY|337|Yes|No|No|18,105 SQFT|84100|162200|415600|362400|499700|524600
0100-H-00346-0000-00|926 MT. LEBANON|860 LARCHMONT RD||Mt Lebanon|92611|Taxable|5/5/1997|Regular|235000|Residential|9937|SINGLE FAMILY|242|Yes|No|No|18,169 SQFT|84200|162200|255900|227100|340100|389300
0100-L-00202-0000-00|926 MT. LEBANON|982 OSAGE RD||Mt Lebanon|92611|Taxable|9/30/1999|Regular|266000|Residential|10594|SINGLE FAMILY|457|Yes|No|No|26,966 SQFT|89900|165500|210100|217300|300000|382800
0100-L-00204-0000-00|926 MT. LEBANON|978 OSAGE RD||Mt Lebanon|92611|Taxable|12/19/2005|Regular|335000|Residential|12693|SINGLE FAMILY|47|Yes|No|No|19,475 SQFT|85600|162700|201400|259100|287000|421800
0100-L-00206-0000-00|926 MT. LEBANON|974 OSAGE RD||Mt Lebanon|92611|Taxable|10/11/1995|Regular|257500|Residential|9558|SINGLE FAMILY|187|Yes|No|No|20,172 SQFT|86300|163000|251100|259300|337400|422300
0100-L-00208-0000-00|926 MT. LEBANON|970 OSAGE RD||Mt Lebanon|92611|Taxable|11/22/1993|Regular|260000|Residential|9101|SINGLE FAMILY|342|Yes|No|No|19,220 SQFT|106600|162600|228300|226200|334900|388800
0100-L-00210-0000-00|926 MT. LEBANON|966 OSAGE RD||Mt Lebanon|92611|Taxable|1/8/2010|Regular|430000|Residential|14151|SINGLE FAMILY|463|Yes|No|No|13,000 SQFT|81300|160300|257800|227800|339100|388100
0100-L-00214-0000-00|926 MT. LEBANON|962 OSAGE RD||Mt Lebanon|92611|Taxable|2/4/2010|Regular|1|Residential|14173|SINGLE FAMILY|302|Yes|No|No|13,000 SQFT|90300|160300|269500|262800|359800|423100
0100-L-00218-0000-00|926 MT. LEBANON|958 OSAGE RD||Mt Lebanon|92611|Taxable|12/11/2009|Regular|397500|Residential|14131|SINGLE FAMILY|39|Yes|No|No|15,708 SQFT|102100|161300|211000|198000|313100|359300
0100-L-00222-0000-00|926 MT. LEBANON|954 OSAGE RD||Mt Lebanon|92611|Taxable|1/22/2003|Regular|3500|Residential|11556|SINGLE FAMILY|363|Yes|No|No|14,114 SQFT|101000|160700|199500|242800|300500|403500
0100-L-00226-0000-00|926 MT. LEBANON|950 OSAGE RD||Mt Lebanon|92611|Taxable|7/5/2007|Regular|631750|Residential|13293|SINGLE FAMILY|432|Yes|No|No|18,590 SQFT|105800|162400|270700|475800|376500|638200
0100-L-00230-0000-00|926 MT. LEBANON|OSAGE RD||Mt Lebanon|92611|Taxable|12/14/1992|Regular|235000|Residential|8867|VACANT LAND|441|No|No|No|3,300 SQFT|4300|1200|0|0|4300|1200
0100-L-00232-0000-00|926 MT. LEBANON|946 OSAGE RD||Mt Lebanon|92611|Taxable|12/14/1992|Regular|235000|Residential|8867|SINGLE FAMILY|441|Yes|No|No|16,500 SQFT|103100|161600|550900|610700|654000|772300
0100-L-00238-0000-00|926 MT. LEBANON|943 OSAGE RD||Mt Lebanon|92611|Taxable|6/9/2003|Regular|416000|Residential|11670|SINGLE FAMILY|573|Yes|No|No|28,875 SQFT|119200|166200|256100|238800|375300|405000
0100-L-00242-0000-00|926 MT. LEBANON|947 OSAGE RD||Mt Lebanon|92611|Taxable|11/17/2004|Regular|641615|Residential|12261|SINGLE FAMILY|35|Yes|No|No|16,278 SQFT|128300|161500|305000|208400|433300|369900
0100-L-00246-0000-00|926 MT. LEBANON|951 OSAGE RD||Mt Lebanon|92611|Taxable|5/2/2008|Regular|615000|Residential|13597|SINGLE FAMILY|177|Yes|No|No|16,740 SQFT|79600|161700|388300|311300|467900|473000
0100-L-00252-0000-00|926 MT. LEBANON|936 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|11/1/2002|Regular|416500|Residential|11495|SINGLE FAMILY|392|Yes|No|No|11,734 SQFT|84600|164200|334900|297400|419500|461600
0100-L-00256-0000-00|926 MT. LEBANON|930 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|7/1/2011|Corporation|666575|Residential|14622|SINGLE FAMILY|354|Yes|No|No|13,360 SQFT|85500|160500|317900|304800|403400|465300
0100-L-00260-0000-00|926 MT. LEBANON|928 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|1/17/2007|Regular|11|Residential|13120|SINGLE FAMILY|537|Yes|No|No|12,904 SQFT|100200|160300|405500|375400|505700|535700
0100-L-00269-0000-00|926 MT. LEBANON|VALLEYVIEW RD||Mt Lebanon|92611|Taxable|8/13/2010|Regular|339900|Residential|14352|VACANT LAND|479|No|No|No|2,524 SQFT|3300|900|0|0|3300|900
0100-L-00270-0000-00|926 MT. LEBANON|935 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|8/13/2010|Regular|339900|Residential|14352|SINGLE FAMILY|479|Yes|No|No|27,398 SQFT|99700|165700|234500|257300|334200|423000
0100-L-00274-0000-00|926 MT. LEBANON|939 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|10/28/1992|Regular|342000|Residential|8837|SINGLE FAMILY|495|Yes|No|No|22,156 SQFT|88400|163700|324000|272100|412400|435800
0100-L-00278-0000-00|926 MT. LEBANON|943 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|11/19/2001|Regular|530000|Residential|11202|SINGLE FAMILY|267|No|No|No|27,664 SQFT|94100|165800|361900|249900|456000|415700
0100-L-00282-0000-00|926 MT. LEBANON|947 VALLEYVIEW RD||Mt Lebanon|92611|Taxable|12/27/1994|Regular|319000|Residential|9374|SINGLE FAMILY|162|Yes|No|No|24,804 SQFT|102500|164700|300400|237600|402900|402300
0100-L-00286-0000-00|926 MT. LEBANON|965 OSAGE RD||Mt Lebanon|92611|Taxable|10/16/2007|Regular|785000|Residential|13409|SINGLE FAMILY|54|Yes|No|No|1.0710 Acres|130000|172700|365000|403700|495000|576400
0100-L-00292-0000-00|926 MT. LEBANON|973 OSAGE RD||Mt Lebanon|92611|Taxable|5/5/1995|Regular|320000|Residential|9450|SINGLE FAMILY|527|Yes|No|No|22,678 SQFT|88900|163900|373100|405000|462000|568900
0100-L-00294-0000-00|926 MT. LEBANON|969 OSAGE RD||Mt Lebanon|92611|Taxable|7/9/2007|Regular|470595|Residential|13297|SINGLE FAMILY|328|Yes|No|No|21,417 SQFT|87600|163400|320400|373400|408000|536800
0100-L-00300-0000-00|||||||||||||||||||||||
0100-M-00058-0000-00|926 MT. LEBANON|768 PINETREE RD||Mt Lebanon|92611|Taxable|12/10/1996|Regular|192000|Residential|9843|SINGLE FAMILY|585|Yes|No|No|14,850 SQFT|101500|161000|211300|259300|312800|420300
0100-M-00060-0000-00|926 MT. LEBANON|764 PINETREE RD||Mt Lebanon|92611|Taxable|9/17/1985|Regular|135000|Residential|7156|SINGLE FAMILY|537|Yes|No|No|18,218 SQFT|89500|162300|101100|173500|190600|335800
0100-M-00074-0000-00|926 MT. LEBANON|783 PINETREE RD||Mt Lebanon|92611|Taxable|3/1/2001|Regular|310000|Residential|10988|SINGLE FAMILY|26|Yes|No|No|12,225 SQFT|79800|160000|226900|190100|306700|350100
0100-M-00076-0000-00|926 MT. LEBANON|775 PINETREE RD||Mt Lebanon|92611|Taxable|1/10/2011|Regular|390000|Residential|14477|SINGLE FAMILY|561|Yes|No|No|14,542 SQFT|81000|160900|223300|220500|304300|381400
0100-M-00078-0000-00|926 MT. LEBANON|771 PINETREE RD||Mt Lebanon|92611|Taxable|7/2/1999|Regular|222500|Residential|10519|SINGLE FAMILY|217|Yes|No|No|16,735 SQFT|82700|161700|188900|214600|271600|376300
0100-M-00080-0000-00|926 MT. LEBANON|767 PINETREE RD||Mt Lebanon|92611|Taxable|7/23/2008|Regular|314000|Residential|13681|SINGLE FAMILY|368|Yes|No|No|15,105 SQFT|86400|161100|158600|242800|245000|403900
0100-M-00084-0000-00|926 MT. LEBANON|763 PINETREE RD||Mt Lebanon|92611|Taxable|5/10/1999|Regular|185750|Residential|10472|SINGLE FAMILY|482|Yes|No|No|18,193 SQFT|84200|162300|116800|214100|201000|376400
0100-M-00086-0000-00|926 MT. LEBANON|759 PINETREE RD||Mt Lebanon|92611|Taxable|12/4/2007|Regular|420000|Residential|13456|SINGLE FAMILY|356|Yes|No|No|17,030 SQFT|83000|161800|220900|224200|303900|386000
0100-M-00094-0000-00|926 MT. LEBANON|850 OSAGE RD||Mt Lebanon|92611|Taxable|7/3/2003|Regular|782000|Residential|11696|SINGLE FAMILY|151|Yes|No|No|27,954 SQFT|106200|165900|505800|706400|612000|872300
0100-M-00098-0000-00|926 MT. LEBANON|858 OSAGE RD||Mt Lebanon|92611|Taxable|8/11/1983|Regular|240000|Residential|6711|SINGLE FAMILY|153|Yes|No|No|16,588 SQFT|92900|161700|382100|346900|475000|508600
0100-M-00102-0000-00|926 MT. LEBANON|864 OSAGE RD||Mt Lebanon|92611|Taxable|12/20/2011|Regular|550000|Residential|14767|SINGLE FAMILY|88|No|No|No|13,172 SQFT|100400|160400|231700|188400|332100|348800
0100-M-00106-0000-00|926 MT. LEBANON|872 OSAGE RD||Mt Lebanon|92611|Taxable|9/27/2007|Corporation|1|Residential|13389|SINGLE FAMILY|223|Yes|No|No|13,117 SQFT|100400|160400|273300|197500|373700|357900
