# Source: Pittsburgh Neighborhood and Community Information System at the University Center for Social and Urban Research
# http://www.ucsur.pitt.edu/thepub.php?pl=370
# http://surveyweb1.ucsur.pitt.edu/files/thepub/000089/Sales1011.zip
#
# Transformations:
# (1) removed non-Mt. Lebanon properties
# (2) removed columns that didn't contain quantitative or categorical info
#     (e.g., personally identifying information)
"MAPBLOLOT","PROPERTYZIP","SALEDATE","SALEPRICE","MUNICODE","X","Y","YEARBUILT","TOTALROOMS","BEDROOMS","FULLBATHS","HALFBATHS","STYLE_DESC","STORIES","FINISHEDLI"
"0099R00242000000",15243,"14-Jun-11",166000,926,1325923.75052208,391746.512988821,1936,8,3,1,0,"OLD STYLE",2,2038
"0099S00058000000",15216,"28-Jun-11",1,926,1327486.7504538,392007.497034907,1928,7,4,1,1,"OLD STYLE",2,1886
"0099S00112000000",15216,"31-Aug-11",122000,926,1327323.5003096,391785.716940105,1923,6,3,1,1,"BUNGALOW",1,1632
"0099S00136000000",15228,"01-Feb-11",0,926,1327635.18379486,391741.398894519,1950,5,2,1,0,"CONVENTIONAL",1,1181
"0099S00142000000",15228,"09-Jun-11",162000,926,1327487.06289074,391681.896626949,1955,5,2,2,1,"CONVENTIONAL",1,1716
"0099S00154000000",15228,"18-Mar-11",84000,926,1327162.00037467,391610.660713464,1946,6,3,1,1,"OLD STYLE",2,1280
"0099S00158000000",15228,"09-Nov-11",65000,926,1327083.06301665,391596.155765444,1947,6,3,1,1,"OLD STYLE",2,1424
"0099S00228000000",15228,"07-Mar-11",290500,926,1327760.75037846,391361.73826544,1937,8,4,2,1,"VICTORIAN",2,2234
"0099S00250000000",15228,"08-Nov-11",183750,926,1327976.31286179,391585.43729715,1948,6,2,1,0,"OLD STYLE",2,1260
"0099S00260000000",15228,"06-Apr-11",197880,926,1327754.81281599,391499.671029493,1931,7,3,1,0,"OLD STYLE",2,1659
"0099S00262000000",15228,"27-Oct-11",195000,926,1327712.18796143,391482.482634082,1928,7,3,1,1,"OLD STYLE",2,1620
"0099S00304000000",15216,"02-Aug-11",162000,926,1327847.18787158,391997.22375533,1959,5,2,1,1,"RANCH",1,1136
"0099S00308000000",15216,"28-Sep-11",120900,926,1327911.06289877,391987.449191794,1951,6,3,2,0,"CONVENTIONAL",1.5,1750
"0099S00310000000",15216,"19-Jan-11",1,926,1327959.75040694,392000.988222867,1924,7,3,1,1,"OLD STYLE",2,2160
"0099S00338000000",15216,"21-Mar-11",249000,926,1327658.43784995,392084.567044035,1945,9,4,1,1,"OLD STYLE",2,2190
"0100L00256000000",15243,"01-Jul-11",666575,926,1322084.06284243,392504.353226095,1950,8,4,3,2,"CONVENTIONAL",1.5,4368
"0100M00076000000",15243,"10-Jan-11",390000,926,1322771.81286527,393033.245743185,1963,10,5,3,2,"CONVENTIONAL",2,4192
"0100M00102000000",15243,"20-Dec-11",550000,926,1323275.31285058,393035.595420256,1940,7,3,2,2,"COLONIAL",2,2474
"0100M00158000000",15243,"03-May-11",1000000,926,1322365.750248,392665.683366761,1972,9,5,4,2,"RANCH",1.5,6511
"0100M00174000000",15243,"09-May-11",427000,926,1322740.12534003,392605.469146356,1953,7,3,2,1,"RANCH",1,3040
"0100M00250000000",15243,"21-Mar-11",475000,926,1323088.75037238,392316.142938793,1949,10,4,2,2,"OLD STYLE",2,4066
"0100M00254000000",15243,"27-Sep-11",350000,926,1323162.00044715,392348.742853597,1948,7,3,2,1,"OLD STYLE",2,2250
"0100R00032000000",15243,"02-Nov-11",445000,926,1321960.93369362,392214.562532827,1977,7,3,2,1,"CONVENTIONAL",1.5,3291
"0100S00110000000",15243,"05-Oct-11",246500,926,1322635.19210365,391895.954331756,1954,9,3,2,0,"SPLIT LEVEL",1,2065
"0100S00185000000",15243,"07-Jul-11",350000,926,1322959.93364939,391527.152098477,1985,10,4,2,2,"CONVENTIONAL",2,3466
"0191A00046000000",15228,"10-Nov-11",1,926,1333575.62541845,386985.589957759,1940,8,3,1,1,"OLD STYLE",2,2069
"0191A00048000000",15228,"18-May-11",205000,926,1333563.06287402,386927.568711102,1939,7,3,1,1,"OLD STYLE",2,1824
"0191A00147000000",15228,"26-May-11",176000,926,1333240.81287225,387215.767934754,1937,7,3,2,1,"OLD STYLE",2,2210
"0191B00088000000",15228,"16-Jun-11",173000,926,1334591.56300554,387567.487275824,1948,6,2,2,0,"CAPE COD",1.5,1703
"0191B00126000000",15228,"24-Aug-11",220000,926,1334479.87542939,387217.229173824,1938,7,2,1,1,"OLD STYLE",2,2800
"0191B00192000000",15228,"03-Oct-11",224900,926,1333823.81293179,387038.716746852,1937,7,3,1,1,"OLD STYLE",2,1800
"0191B00206000000",15228,"29-Aug-11",165000,926,1333794.43794414,386833.149433538,1940,8,4,2,0,"OLD STYLE",1.5,2356
"0191E00044000000",15228,"13-May-11",174000,926,1332869.81291372,386651.904492423,1947,7,3,1,1,"OLD STYLE",2,1475
"0191E00278000000",15228,"23-Feb-11",1,926,1333426.06296016,386582.918086112,1940,6,3,1,1,"OLD STYLE",2,1460
"0192A00040000000",15228,"12-Aug-11",1,926,1328014.87952702,387724.146959364,1950,6,3,1,0,"CAPE COD",1.5,1547
"0192A00166000000",15228,"20-May-11",394500,926,1328950.18792267,386931.626124665,1930,6,3,1,0,"OLD STYLE",2,3936
"0192B00030000000",15228,"04-Jan-11",1,926,1329644.37548468,387676.119912997,1934,6,3,1,1,"OLD STYLE",1.5,1875
"0192B00147000000",15228,"13-Dec-11",1,926,1329367.37540899,387377.083142057,1930,6,3,1,1,"OLD STYLE",2,1824
"0192B00215000000",15228,"09-Feb-11",244000,926,1329557.31282678,387029.518960163,1930,9,6,2,0,"OLD STYLE",2,2620
"0192B00240000000",15228,"18-Aug-11",1,926,1329161.06288216,387359.591230914,1921,6,3,1,0,"OLD STYLE",2,2661
"0192C00010000000",15228,"14-Feb-11",1,926,1331398.37543008,387585.858897686,1926,5,2,1,0,"OLD STYLE",2,1386
"0192C00068000000",15228,"14-Feb-11",60000,926,1331082.75031328,387362.376011819,1929,6,3,1,0,"OLD STYLE",2,1637
"0192C00089000000",15228,"06-Apr-11",1,926,1331396.37542637,387040.231416315,1927,6,3,2,0,"RANCH",1,1708
"0192C00130000000",15228,"17-Feb-11",180000,926,1330892.5628102,387297.001927331,1924,6,3,1,1,"OLD STYLE",2,1314
"0192C00134000000",15228,"18-May-11",217500,926,1330831.50039428,387356.077333525,1940,8,4,1,1,"OLD STYLE",2,1547
"0192C00317000000",15228,"16-Jun-11",159850,926,1330474.56291024,387428.342873156,1946,7,3,1,1,"COLONIAL",2,1305
