PIN,MAPBLOCKLO,PROPERTYHO,PROPERTY_1,PROPERTYZI,FAIRMARKET,FAIRMARK_1,TAXDESC,OWNERDESC,STATEDESC,USEDESC,LOTAREA
0141R00323000000,141-R-323,249,LEMOYNE AVE,15228,49400,34600,Taxable,Regular,Residential,ROWHOUSE,3247
0141R00334000000,141-R-334,264,LEMOYNE AVE,15228,61500,35500,Taxable,Regular,Residential,SINGLE FAMILY,5393
0141R00348000000,141-R-348,290,LEMOYNE AVE,15228,133000,32000,Taxable,Corporation,Residential,FOUR FAMILY,6658
0141R00322000000,141-R-322,251,LEMOYNE AVE,15228,49400,34600,Taxable,Regular,Residential,ROWHOUSE,3012
0141R00342000000,141-R-342,280,LEMOYNE AVE,15228,79000,36500,Taxable,Regular,Residential,SINGLE FAMILY,7734
0141R00371000000,141-R-371,265,ASHLAND AVE,15228,63100,35500,Taxable,Regular,Residential,SINGLE FAMILY,5394
0141R00373000000,141-R-373,261,ASHLAND AVE,15228,98400,35500,Taxable,Regular,Residential,SINGLE FAMILY,5200
0141S00023000000,141-S-23,357,BIRCH AVE,15228,119600,29900,Taxable,Regular,Residential,SINGLE FAMILY,4463
0141S00046000000,141-S-46,335,PARKSIDE AVE,15228,104500,28600,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141R00400000000,141-R-400,315,CYPRESS ST,15228,210600,56600,Exempt,Corporation,Commercial,OFFICE - 1-2 STORIES,23473
0141S00015000000,141-S-15,341,BIRCH AVE,15228,107100,30300,Taxable,Regular,Residential,SINGLE FAMILY,5640
0141S00034000000,141-S-34,311,PARKSIDE AVE,15228,102800,28600,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141R00314000000,141-R-314,259,LEMOYNE AVE,15228,0,2200,Taxable,Regular,Residential,VACANT LAND,2717
0141R00330000000,141-R-330,256,LEMOYNE AVE,15228,63700,35400,Taxable,Regular,Residential,SINGLE FAMILY,5005
0141R00336000000,141-R-336,270,LEMOYNE AVE,15228,65600,35600,Taxable,Regular,Residential,SINGLE FAMILY,5587
0141R00369000000,141-R-369,271,ASHLAND AVE,15228,96000,9000,Taxable,Regular,Residential,SINGLE FAMILY,5559
0141R00375000000,141-R-375,259,ASHLAND AVE,15228,107200,35400,Taxable,Regular,Residential,SINGLE FAMILY,5005
0141S00010000000,141-S-10,333,BIRCH AVE,15228,99600,27500,Taxable,Regular,Residential,SINGLE FAMILY,5941
0141R00350000000,141-R-350,294,LEMOYNE AVE,15228,95000,30000,Taxable,Corporation,Residential,TWO FAMILY,4717
0141R00365000000,141-R-365,279,ASHLAND AVE,15228,83100,35800,Taxable,Regular,Residential,SINGLE FAMILY,5977
0141R00378000000,141-R-378,260,ASHLAND AVE,15228,107200,30900,Taxable,Regular,Residential,SINGLE FAMILY,7504
0141R00345000000,141-R-345,286,LEMOYNE AVE,15228,137800,36600,Taxable,Regular,Residential,TWO FAMILY,8049
0141R00352000000,141-R-352,274,PENNSYLVANIA BLVD,15228,110600,32300,Taxable,Regular,Residential,SINGLE FAMILY,6385
0141R00367000000,141-R-367,275,ASHLAND AVE,15228,63200,35700,Taxable,Regular,Residential,SINGLE FAMILY,5839
0141R00382000000,141-R-382,266,ASHLAND AVE,15228,102600,30400,Taxable,Regular,Residential,SINGLE FAMILY,5879
0141S00013000000,141-S-13,339,BIRCH AVE,15228,96300,35400,Taxable,Regular,Residential,SINGLE FAMILY,5040
0141S00032000000,141-S-32,309,PARKSIDE AVE,15228,88900,28600,Taxable,Corporation,Residential,SINGLE FAMILY,6000
0141R00327000000,141-R-327,254,LEMOYNE AVE,15228,81000,36200,Taxable,Regular,Residential,SINGLE FAMILY,7125
0141R00340000000,141-R-340,274,LEMOYNE AVE,15228,50000,22000,Taxable,Regular,Residential,ROWHOUSE,2239
0141R00363000000,141-R-363,281,ASHLAND AVE,15228,95200,35800,Taxable,Regular,Residential,SINGLE FAMILY,6171
0141S00002000000,141-S-2,313,BIRCH AVE,15228,65300,27500,Taxable,Regular,Residential,SINGLE FAMILY,5783
0141S00017000000,141-S-17,345,BIRCH AVE,15228,104200,30400,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00019000000,141-S-19,349,BIRCH AVE,15228,97200,30400,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00038000000,141-S-38,319,PARKSIDE AVE,15228,96900,28600,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00058000000,141-S-58,340,QUESTEND AVE,15228,48600,35300,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00064000000,141-S-64,330,QUESTEND AVE,15228,71400,35300,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00044000000,141-S-44,331,PARKSIDE AVE,15228,75600,30400,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00048000000,141-S-48,339,PARKSIDE AVE,15228,103800,28600,Taxable,Regular,Residential,SINGLE FAMILY,5794
0141S00036000000,141-S-36,315,PARKSIDE AVE,15228,129600,28600,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00056000000,141-S-56,346,QUESTEND AVE,15228,73000,35800,Taxable,Regular,Residential,SINGLE FAMILY,6163
0252G00064000000,252-G-64,0,INGLEWOOD DR,15228,0,500,Taxable,Corporation,Residential,VACANT LAND,558
0252G00088000000,252-G-88,19,FOREST GLEN DR,15228,163900,83100,Taxable,Regular,Residential,SINGLE FAMILY,19124
0141S00030000000,141-S-30,301,PARKSIDE AVE,15228,161400,28600,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00078000000,141-S-78,331,QUESTEND AVE,15228,81800,28200,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00080000000,141-S-80,333,QUESTEND AVE,15228,70800,28200,Taxable,Regular,Residential,SINGLE FAMILY,4800
0252G00078000000,252-G-78,15,FOREST GLEN DR,15228,267200,117900,Taxable,Regular,Residential,SINGLE FAMILY,47393
0252G00124000000,252-G-124,16,FOREST GLEN DR,15228,282300,59400,Taxable,Regular,Residential,SINGLE FAMILY,8238
0141S00062000000,141-S-62,332,QUESTEND AVE,15228,97600,35300,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00070000000,141-S-70,316,QUESTEND AVE,15228,85300,35300,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00084000000,141-S-84,341,QUESTEND AVE,15228,98600,28200,Taxable,Regular,Residential,SINGLE FAMILY,4680
0141R00380000000,141-R-380,264,ASHLAND AVE,15228,94100,30300,Taxable,Regular,Residential,SINGLE FAMILY,5763
0141S00040000000,141-S-40,321,PARKSIDE AVE,15228,144600,30400,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00068000000,141-S-68,320,QUESTEND AVE,15228,64400,35300,Taxable,Regular,Residential,SINGLE FAMILY,4800
0252F00048000000,252-F-48,199,SENECA DR,15228,101800,38300,Taxable,Regular,Residential,SINGLE FAMILY,9583
0252F00054000000,252-F-54,173,MARKHAM DR,15228,140600,29400,Taxable,Regular,Residential,SINGLE FAMILY,7750
0252F00069000000,252-F-69,120,MCCONNELLS MILL LN,15228,390600,34400,Taxable,Regular,Residential,SINGLE FAMILY,12572
0252G00144000000,252-G-144,10,FOREST GLEN DR,15228,410700,68500,Taxable,Regular,Residential,SINGLE FAMILY,17295
0252F00066000000,252-F-66,155,MARKHAM DR,15228,157200,29300,Taxable,Regular,Residential,SINGLE FAMILY,10676
0252G00120000000,252-G-120,18,FOREST GLEN DR,15228,323200,76800,Taxable,Regular,Residential,SINGLE FAMILY,14495
0252G00092000000,252-G-92,21,FOREST GLEN DR,15228,207700,102600,Taxable,Regular,Residential,SINGLE FAMILY,33618
0252G00134000000,252-G-134,14,FOREST GLEN DR,15228,260400,70500,Taxable,Regular,Residential,SINGLE FAMILY,19073
0141S00042000000,141-S-42,325,PARKSIDE AVE,15228,131400,28600,Taxable,Regular,Residential,SINGLE FAMILY,6000
0141S00076000000,141-S-76,329,QUESTEND AVE,15228,88800,28200,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00093000000,141-S-93,424,FRUITHURST DR,15228,83200,35300,Taxable,Regular,Residential,SINGLE FAMILY,4829
