Parcel_ID|Municipality|Property_Address|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2012_Mkt|Land_Value_2012_Cty|Building_Value_2012_Mkt|Building_Value_2012_Cty|Total_Value_2012_Mkt|Total_Value_2012_Cty
0063-J-00094-0000-00|926 MT. LEBANON|1730 THEODAN DR|Mt Lebanon|92612|Taxable|8/31/2009|Corporation|80750|Residential|14025|SINGLE FAMILY|533|No|No|No|12,824 SQFT|56100|56100|77000|77000|133100|133100
0063-J-00098-0000-00|926 MT. LEBANON|1734 THEODAN DR|Mt Lebanon|92612|Taxable|7/17/2001|Regular|1|Residential|11098|SINGLE FAMILY|392|No|No|No|15,949 SQFT|42700|42700|73900|73900|116600|116600
0063-J-00102-0000-00|926 MT. LEBANON|1738 THEODAN DR|Mt Lebanon|92612|Taxable|7/8/1993|Regular|1|Residential|9003|SINGLE FAMILY|511|Yes|No|No|16,050 SQFT|39100|39100|41500|26500|80600|65600
0063-J-00106-0000-00|926 MT. LEBANON|1742 THEODAN DR|Mt Lebanon|92612|Taxable|2/7/2002|Regular|142500|Residential|11264|SINGLE FAMILY|263|Yes|No|No|23,082 SQFT|72000|72000|70500|55500|142500|127500
0063-J-00110-0000-00|926 MT. LEBANON|1746 THEODAN DR|Mt Lebanon|92612|Taxable|4/9/2008|Regular|1|Residential|13572|SINGLE FAMILY|327|Yes|No|No|10,061 SQFT|41500|41500|102900|87900|144400|129400
0063-J-00112-0000-00|926 MT. LEBANON|1750 THEODAN DR|Mt Lebanon|92612|Taxable|1/24/1973|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|14,194 SQFT|40000|40000|105000|90000|145000|130000
0063-J-00118-0000-00|926 MT. LEBANON|1754 THEODAN DR|Mt Lebanon|92612|Taxable|5/11/2004|Regular|167000|Residential|12041|SINGLE FAMILY|88|Yes|No|No|24,279 SQFT|50000|50000|105000|90000|155000|140000
0063-J-00122-0000-00|926 MT. LEBANON|1758 THEODAN DR|Mt Lebanon|92612|Taxable|12/9/2011|Regular|0|Residential|14759|SINGLE FAMILY|21|Yes|No|No|10,376 SQFT|52400|52400|75800|60800|128200|113200
0063-J-00124-0000-00|926 MT. LEBANON|1762 THEODAN DR|Mt Lebanon|92612|Taxable|6/12/1985|Regular|73000|Residential|7096|SINGLE FAMILY|178|Yes|No|No|13,376 SQFT|36500|36500|118300|103300|154800|139800
0063-J-00128-0000-00|926 MT. LEBANON|1782 THEODAN DR|Mt Lebanon|92612|Taxable|8/24/2006|Corporation|181000|Residential|12968|SINGLE FAMILY|179|Yes|No|No|9,652 SQFT|51200|51200|125800|110800|177000|162000
